trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20100907,399300.SZ,20100907,2983.108,2979.298,2991.435,2959.902,2975.09,8.018,0.2695,73519361.0,85488193.86
20100908,399300.SZ,20100908,2980.967,2970.002,2982.72,2953.839,2983.108,-2.141,-0.0718,72872002.0,92660879.129
20100909,399300.SZ,20100909,2926.46,2986.867,2986.867,2922.2,2980.967,-54.507,-1.8285,81395554.0,103248280.132
20100910,399300.SZ,20100910,2932.554,2928.001,2940.79,2890.035,2926.46,6.094,0.2082,65086704.0,83743163.807
20100913,399300.SZ,20100913,2962.319,2933.594,2977.078,2925.416,2932.554,29.765,1.015,67279900.0,87536178.972
20100914,399300.SZ,20100914,2965.009,2971.547,2984.466,2954.507,2962.319,2.69,0.0908,70105903.0,87204421.695
20100915,399300.SZ,20100915,2913.194,2965.539,2965.539,2905.63,2965.009,-51.815,-1.7475,71619642.0,86445964.329
20100916,399300.SZ,20100916,2857.789,2908.322,2917.849,2834.033,2913.194,-55.405,-1.9019,74074284.0,84198375.91
20100917,399300.SZ,20100917,2861.369,2864.717,2877.083,2847.681,2857.789,3.58,0.1253,51938867.0,62466326.737
20100920,399300.SZ,20100920,2849.828,2865.04,2872.219,2829.757,2861.369,-11.541,-0.4033,50283104.0,57582985.44
20100921,399300.SZ,20100921,2857.476,2859.43,2869.38,2844.125,2849.828,7.648,0.2684,35751881.0,44742025.248
20100927,399300.SZ,20100927,2905.029,2869.928,2905.526,2864.209,2857.476,47.553,1.6642,49071823.0,62611534.184
20100928,399300.SZ,20100928,2880.907,2900.536,2900.536,2875.658,2905.029,-24.122,-0.8304,58660826.0,80859749.613
20100929,399300.SZ,20100929,2874.812,2877.269,2908.732,2866.854,2880.907,-6.095,-0.2116,56782236.0,74516021.987
20100930,399300.SZ,20100930,2935.574,2859.06,2935.595,2857.418,2874.812,60.762,2.1136,63000247.0,80709727.516
20101008,399300.SZ,20101008,3044.233,2965.652,3055.836,2963.237,2935.574,108.659,3.7015,99994720.0,134986634.589
20101011,399300.SZ,20101011,3132.895,3069.188,3154.204,3069.188,3044.233,88.662,2.9125,158734904.0,212607066.63
20101012,399300.SZ,20101012,3172.726,3121.636,3173.849,3106.224,3132.895,39.831,1.2714,127361705.0,178245219.77
